Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
288,80465,9787,51681,6446,16855,5111,9919,56
289,82312,9194,51959,8248,14294,5111,9581,56
290,80965,10320,52944,8440,14348,5111,9497,52
291,80965,8730,50707,8440,14272,5111,9487,52
292,82304,16165,53799,8248,14274,5111,9496,52
293,81064,10174,50729,8440,14288,5111,9567,56
294,80465,11952,52022,6446,14344,5111,9558,56
295,80965,11751,51006,8440,13166,5806,9525,56
296,79928,9147,51565,8440,13166,5806,9524,56
297,80705,10789,51753,8432,13152,5806,9511,56
298,82312,11692,51453,8248,13161,5806,9515,56
299,81613,10559,49898,8440,13145,5806,9529,56
300,80965,6570,51982,8440,13205,5806,9524,56
301,82304,12423,53954,8248,13211,5806,9622,52
302,81984,11329,51920,8196,13161,5806,9614,52
303,80984,9455,50981,8248,13184,5806,9615,52
304,80965,10916,54153,8440,13139,5806,9631,52
305,80465,8370,51883,6446,13200,5806,9766,52
306,80465,10334,54125,6446,13098,5806,9822,48
307,81514,13111,52486,8440,13104,5806,9689,48
308,81099,12384,52606,8248,14601,5806,9787,52
309,83053,10927,54763,8248,14541,5806,9775,52
310,81144,9709,52153,6586,14576,5806,9536,52
311,82312,10335,54563,8248,14614,5806,9529,52
312,82312,12169,54792,8248,14541,5806,9530,52
313,83043,10472,52757,8248,14586,5806,9528,52
314,82631,13733,52655,8248,14577,5806,9600,56
315,82304,12395,50359,8248,14577,5806,9603,56
316,82304,13230,54166,8248,14557,5806,9600,56
317,81144,8482,51920,6586,14588,5806,9631,56
318,82434,9694,51557,8248,14619,5806,9580,52
319,81162,10150,52543,8248,14608,5806,9578,52
320,81293,7918,53822,7375,17060,5806,9777,52
321,82607,10176,54498,7375,17129,5806,9828,56
322,82024,9241,53540,8248,14588,5806,9621,56
323,81380,6896,50385,8511,14555,5806,9460,56
324,81144,6905,52684,6586,14589,5806,9460,56
325,83247,10939,53806,7375,14559,5806,9455,56
326,81144,10179,52157,6586,14546,5806,9589,56
327,81144,13479,54713,6586,16983,5806,9808,56
328,81144,9689,53406,6586,16929,5806,9807,56
329,81432,10169,53050,7375,16972,5806,9809,56
330,81432,10764,54183,7375,17068,5806,9811,56
331,82411,8779,50171,8248,17014,5806,9810,56
332,83247,6580,51293,7375,14561,5806,9606,56
333,83053,9105,54402,8248,14616,6484,9761,52
334,83108,7691,53365,7375,14600,6484,9768,52
335,82573,11181,51603,8440,14519,6484,9764,52
336,81511,9716,51943,7375,14537,6484,9762,52
337,81144,9459,49410,6586,14556,6484,9769,52
338,81455,14360,52864,12766,14599,6484,9748,52
339,82179,9585,52935,7375,14904,6484,10051,52
340,81676,15044,52684,8248,14852,6484,10119,56
341,81728,10265,51455,8442,14843,6484,10065,52
342,81455,9640,50899,12766,14859,6484,10057,52
343,81530,12312,53236,7375,14824,6484,10063,52
344,81999,8294,51702,8248,17024,6484,10551,52
345,81539,12487,53875,8491,16952,6484,10550,52
346,82500,11309,53950,7375,17014,6484,10548,48
347,82500,9484,52298,7375,17005,6484,10544,48
348,83215,11980,51596,7375,20060,6484,10691,52
349,82259,11954,52094,10972,20025,6484,10670,52
350,81799,8377,53910,10972,19998,6484,10671,52
351,82006,13148,54857,14469,20056,6484,10671,52
352,81787,11563,55379,8491,19989,6484,10743,56
353,82259,8153,51342,10972,19969,6484,10747,56
354,81787,10416,53204,8491,17648,6484,10798,55
355,82361,8147,51737,7375,17626,6484,10728,48
356,81832,8675,51670,7375,17634,6484,10728,49
357,81799,5730,54411,10972,17648,6586,10775,54
358,81799,8361,52973,10972,17657,6586,11020,49
359,81787,9318,53516,8491,17651,6586,11011,50
360,82179,7416,52137,7375,17602,6586,11001,49
361,82588,13429,53061,14469,17658,6586,11008,48
362,81787,9837,53830,8491,17639,6586,10823,49
363,81787,12323,53367,8491,17621,6586,11207,48
364,81511,10006,52592,7375,17674,6586,11207,50
365,82500,12643,53534,7375,17603,6586,11207,48
366,82192,11082,52509,12709,17704,6586,11317,54
367,82192,14943,53950,12709,17590,6586,11706,52
368,82192,8007,53231,12709,17620,6586,11564,53
369,82192,16606,54368,12709,17659,6586,11560,53
370,81881,9228,50217,12709,17692,6586,11608,55
371,82547,14809,54361,7375,17708,6586,11596,56
372,81881,19031,56570,12709,17682,6586,11606,57
373,82436,15161,55907,12709,17686,6586,11607,58
374,82101,9243,53902,12709,17780,6586,11604,55
375,82436,9654,51311,12709,17664,6586,11601,55
376,82135,13400,53924,14469,17759,6586,11606,55
377,82500,8884,52537,7375,17734,6586,11606,56
378,82035,11073,55304,14803,17691,6586,11648,52
379,82850,11042,55852,14803,17700,6586,11811,52
380,82125,7261,51896,12709,17738,6586,11818,52
381,83247,11348,53123,7375,17709,6586,11815,52
382,83215,11056,52782,7375,17729,6586,11994,50
383,82192,12665,51846,12709,17733,6586,11997,50
384,82192,12146,53098,12709,17695,6586,11990,50
385,82436,9721,50459,12709,17810,6586,11999,47
386,81881,10342,52931,12709,17708,6586,11996,48
387,82607,13994,51885,7375,17707,6586,11764,47
388,81881,10848,53193,12709,17706,6586,11765,47
389,83108,7306,54866,7375,17667,6586,11762,46
390,81881,10199,52140,12709,17778,6586,11615,46
391,81790,12407,53715,12709,17708,6586,11623,48
392,82436,8923,51419,12709,17654,6586,11600,46
393,82101,10337,53547,12709,17679,6586,11598,46
394,82361,9095,51918,7375,17742,6586,11670,53
395,82192,9506,54569,12709,17651,6586,11668,50
396,81958,14609,51560,14469,17681,6586,11621,46
397,82507,8416,53645,9712,17663,6586,11622,47
398,82507,8115,54247,9712,17733,6586,11623,48
399,82361,9283,53804,7375,17700,6586,11619,47
400,82436,12018,55082,12709,17697,6586,11623,48
401,82277,10772,52817,14803,17746,6586,11763,49
402,82192,11261,53576,12709,17735,6586,11773,47
403,82192,8131,53622,12709,17691,6586,11768,48
404,83108,11987,52781,7375,17691,6586,11771,48
405,82192,10466,52398,12709,17686,6586,11769,47
406,82125,8033,55785,12709,17690,6586,11762,46
407,81881,9495,55324,12709,17756,6586,11930,47
408,82436,8430,52240,12709,21154,6586,12130,50
409,82192,8788,52067,12709,21182,6586,12128,50
410,82573,6992,50952,8440,21213,6586,12129,51
411,83514,7093,52957,12709,21235,6586,12123,50
412,82500,8707,51851,7375,21224,6586,12130,51
413,82702,11234,55249,10969,21157,6586,12134,52
414,82035,11412,53542,14803,21182,6586,12125,49
415,82345,10624,49907,12709,21211,6586,12129,50
416,82192,10045,51298,12709,21181,6586,12127,52
417,82474,5308,54247,8440,21154,6586,12121,50
418,82192,10059,51510,12709,21226,6586,12134,53
419,82192,13315,53927,12709,17827,6586,11966,50
420,82507,14470,52399,9712,17662,6586,11562,47
421,81881,10547,53210,12709,17718,6586,11569,48
422,82192,15168,54724,12709,17722,6586,11558,48
423,82616,9165,51798,10969,17669,6586,11562,48
424,81881,12739,54784,12709,17751,6586,11562,48
425,82616,11895,52086,10969,17742,6586,11565,48
426,82345,13775,50067,12709,17752,6586,11566,48
427,82616,9162,52467,10969,17719,6586,11563,48
428,82361,11724,55052,7375,17673,6586,11566,46
429,83605,9020,56194,12709,17715,6586,11774,43
430,82361,12449,50932,7375,17739,6586,12019,44
431,82507,9929,54554,9712,17697,6586,12010,44
432,83371,11301,54545,10969,17724,6586,12008,44
433,82192,7402,53758,12709,17750,6586,12019,43
434,82507,7200,50092,9712,17716,6586,12016,45
435,83371,11018,53956,10969,17735,6586,12020,43
436,82192,9084,53120,12709,17736,6586,12020,45
437,82616,15762,55326,10969,17708,6586,12015,43
438,83108,8047,51766,7375,17717,6586,12016,46
439,82500,7657,51766,7375,21111,6586,12635,52
440,82702,13162,55192,10969,21214,6586,12636,51
441,82361,7527,53549,7375,21140,6586,12630,52
442,83371,9067,52144,10969,21143,6586,12637,50
443,82040,8548,52050,7375,21206,6586,12628,51
444,82436,11963,53178,12709,17685,6586,12455,48
445,82192,10056,51633,12709,17739,6586,12460,50
446,83371,10732,49561,10969,17754,6586,12458,48
447,83849,14913,53047,12709,17669,6586,12227,46
448,82192,10700,52342,12709,17770,6586,12225,46
449,82500,7194,53790,7375,17679,6586,12230,46
450,82179,8474,54084,7375,17746,6586,12230,46
451,83605,16186,53611,12709,17778,6586,12230,48
452,82192,12568,52557,12709,17695,6586,12235,49
453,82436,8941,51227,12709,17785,6586,12236,50
454,82192,8485,54287,12709,20751,6586,12390,53
455,83371,9930,52191,10969,24775,6586,12968,55
456,82125,10052,51926,12709,24795,6586,12969,55
457,82507,11807,53927,9712,24844,6586,12974,56
