Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
1,1225,1,295,328,328,328,328,1
2,1426,1,461,328,336,328,330,1
3,1426,1,625,328,342,328,332,1
4,1539,1,763,330,350,328,334,1
5,1661,1,876,330,350,328,335,1
6,1886,1,1048,339,357,328,337,2
7,2533,24,1077,349,375,328,347,2
8,2818,156,1166,342,391,334,358,5
9,4048,169,1288,366,400,342,364,6
10,4665,521,1389,361,417,342,375,11
11,8327,469,1612,377,431,342,378,13
12,8358,319,1909,384,446,342,386,15
13,8686,614,2106,374,459,342,391,21
14,8966,416,1984,374,460,354,395,24
15,8919,797,2091,374,463,354,397,24
16,9079,718,2401,389,469,354,400,25
17,9739,740,2947,442,458,354,403,24
18,9025,725,2925,426,476,354,410,23
19,9331,340,3071,374,494,354,413,28
20,10397,922,3376,378,515,354,421,28
21,10866,724,3600,386,521,354,427,23
22,10866,1031,3829,386,545,354,433,27
23,9961,1031,3742,409,578,374,441,27
24,10308,1033,3923,612,621,374,450,26
25,10334,909,4345,419,659,374,465,27
26,10866,1031,4019,386,656,374,469,27
27,10408,1095,4437,650,653,374,470,24
28,10408,1024,4441,650,696,374,473,27
29,10408,929,4490,650,696,374,469,28
30,10408,655,4476,650,710,374,470,28
31,10408,1031,4025,650,767,374,482,27
32,10408,1031,4477,650,804,374,490,26
33,10408,1031,4653,650,865,374,490,25
34,10408,1031,4652,650,858,374,489,27
35,10408,793,4383,650,854,374,491,26
36,10408,1019,4672,650,921,374,507,26
37,10838,857,5044,437,918,374,510,27
38,11424,775,5091,841,926,374,512,28
39,11424,565,4754,841,1002,374,539,27
40,11424,1031,4877,841,1066,374,542,29
41,11424,1031,4605,841,1154,374,601,28
42,11424,729,4505,841,1149,374,630,27
43,11424,969,4849,841,1155,374,636,31
44,11424,1031,4759,841,1154,374,646,31
45,11424,1049,4376,841,1144,374,672,30
46,11424,571,4941,841,1149,374,671,30
47,11424,1015,4807,841,1168,374,675,29
48,11424,1031,4357,841,1153,374,692,34
49,11424,1032,4688,841,1151,374,700,30
50,11424,1031,4799,841,1160,410,745,29
51,11424,545,4549,841,1164,410,733,29
