Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
156,14115,693,6789,400,418,190,276,25
157,14115,1031,6816,400,419,190,276,26
158,14115,927,6726,400,419,190,272,27
159,14115,767,6512,400,418,190,271,28
160,14115,1031,6371,400,419,190,271,27
161,14115,866,7022,400,430,190,272,28
162,14115,901,6617,400,418,190,272,28
163,14115,712,6929,400,416,190,272,30
164,14115,83,6673,400,423,190,272,30
165,14115,713,6560,400,419,190,271,27
166,14115,845,6605,400,413,190,271,27
167,14115,437,6576,400,417,190,271,27
168,14115,844,6707,400,420,190,272,28
169,14115,891,6939,400,429,190,272,28
170,14115,853,6308,400,424,190,271,26
171,14115,866,6667,400,421,190,271,26
172,14115,846,6413,400,423,190,271,26
173,14115,562,6497,400,419,190,271,28
174,14115,564,6436,400,424,190,271,25
175,14115,523,6636,400,417,190,271,26
176,14115,770,6671,400,421,190,271,26
177,14115,565,6848,400,415,190,271,26
178,14115,693,6633,400,417,190,271,26
179,14115,878,6597,400,416,190,271,28
180,14115,893,6844,400,427,190,271,25
181,14115,190,6651,400,419,190,271,26
182,14115,362,6940,400,421,190,271,26
183,14115,534,6614,400,417,190,271,26
184,14115,540,7056,400,414,190,276,23
185,14115,550,6955,400,421,190,276,25
186,14115,560,6913,400,423,190,277,27
187,13404,501,6521,271,421,190,277,26
188,14115,35,6864,400,420,190,277,30
189,14115,373,6955,400,422,190,277,24
190,14115,985,6806,400,425,190,278,27
191,14115,691,6874,400,419,190,277,27
192,14115,972,6823,400,424,190,277,26
193,14115,41,6682,400,426,190,277,27
194,14115,701,6827,400,416,190,277,33
195,14115,973,6650,400,415,190,277,27
196,14115,524,6428,400,422,190,277,26
197,14115,878,6450,400,424,190,277,27
198,14115,713,6446,400,416,190,277,26
199,13404,714,6876,271,420,190,277,25
200,14115,625,6593,400,418,190,277,26
201,13404,635,6834,271,426,190,276,27
202,13404,866,7051,271,419,190,277,28
203,13404,878,6968,271,415,190,277,30
204,13404,697,6443,271,425,190,277,28
205,14115,383,6704,400,422,190,277,27
206,13404,1001,6335,271,416,190,277,27
207,14115,664,6784,400,420,190,277,29
208,14115,550,6959,400,422,190,276,27
209,13404,612,6290,271,422,190,277,29
210,14115,878,6349,400,418,190,276,27
211,14115,732,6582,400,429,190,276,26
212,14115,633,7076,400,420,190,277,27
213,14115,1031,6389,400,421,190,276,30
214,14115,534,6631,400,421,190,277,28
215,14115,697,6630,400,422,190,277,29
216,14115,849,7415,400,417,190,277,28
217,14115,213,6775,400,426,190,276,28
218,14115,934,6760,400,419,190,276,28
219,14115,691,6418,400,428,190,277,27
220,14115,713,6149,400,420,190,277,25
221,14115,827,6652,400,418,190,278,26
222,14115,175,7254,400,424,190,277,29
223,13404,709,6909,271,420,190,277,25
224,14115,822,6822,400,421,190,277,28
225,14115,866,6247,400,430,190,277,24
226,14115,866,6767,400,429,190,278,26
227,14115,713,6711,400,426,190,277,28
228,14115,861,6855,400,418,190,277,26
229,14115,522,6804,400,420,190,275,28
230,14115,542,6578,400,429,190,274,26
231,14115,565,5949,400,418,190,274,30
232,14115,184,6061,400,418,190,275,28
233,13404,534,6441,271,418,190,275,27
234,14115,854,6989,400,427,190,275,28
235,14115,399,6902,400,421,190,275,27
236,14115,540,6477,400,423,190,274,26
237,14115,907,6302,400,418,190,275,26
238,14115,533,6575,400,425,190,275,29
239,14115,927,6650,400,419,190,274,28
240,14531,545,6812,275,422,190,274,29
241,14531,635,6811,275,425,190,276,29
242,14531,245,6487,275,418,190,275,28
243,14531,798,7152,275,427,190,275,27
244,14531,724,6497,275,425,190,275,28
245,14531,921,7043,275,419,190,273,28
246,14531,507,6603,275,416,190,273,27
247,14531,899,6627,275,418,190,272,25
248,14531,521,6625,275,424,190,273,29
249,14531,1003,6438,275,422,190,276,27
250,14531,524,6558,275,426,190,276,26
251,14531,665,6592,275,419,190,278,28
252,14531,970,6783,275,418,190,278,27
253,14531,1031,6737,275,421,190,278,27
254,14531,691,6392,275,421,190,278,27
255,14531,858,6588,275,415,190,278,27
256,14531,373,7168,275,416,190,277,27
257,14531,1032,6940,275,420,190,278,27
258,14531,655,6770,275,423,190,278,26
259,14531,383,6868,275,421,190,278,27
260,14531,1031,6770,275,418,190,277,26
261,14531,640,6499,275,422,190,277,26
262,14531,544,6821,275,423,190,277,26
263,14531,853,6804,275,424,190,277,28
264,14531,1031,6755,275,420,190,278,26
265,14531,915,6363,275,425,190,278,25
266,14531,599,7021,275,420,190,278,26
267,14531,1007,7035,275,418,190,277,26
268,14531,1031,6794,275,420,190,277,23
269,14531,78,6733,275,417,190,278,27
270,14531,985,7070,275,418,190,278,29
271,14531,399,6675,275,417,190,278,27
272,14531,989,6800,275,419,190,278,26
273,14531,1031,7481,275,417,190,278,25
274,14531,893,6807,275,421,190,278,27
275,14531,1033,7528,275,421,190,277,26
276,14531,995,7296,275,418,190,278,27
277,14531,713,7009,275,425,190,278,25
278,14531,1031,7233,275,429,190,278,27
279,14531,701,7531,275,417,190,278,26
280,14531,540,6662,275,417,190,278,26
281,14531,680,6920,275,426,190,278,29
282,14531,80,6849,275,420,190,276,29
283,14531,555,6666,275,423,190,279,25
284,14531,928,6985,275,427,190,280,28
285,14531,156,6281,275,420,190,280,27
286,14531,377,7002,275,425,190,281,26
287,14531,550,6828,275,427,190,282,27
288,14531,901,7124,275,421,190,281,26
289,14531,1008,7149,275,423,190,281,27
290,14531,399,7079,275,423,190,281,25
291,14531,184,6412,275,419,190,281,27
292,14531,972,7550,275,425,190,281,25
293,14531,1031,6984,275,418,190,277,26
294,14531,528,6572,275,414,190,277,26
295,14531,524,6551,275,419,190,278,26
296,14531,866,7026,275,418,190,277,25
297,14531,963,7133,275,423,190,277,26
298,14531,174,6548,275,420,190,277,26
299,14531,985,7202,275,423,190,277,25
300,14531,878,7467,275,419,190,277,25
301,14531,203,6945,275,424,190,278,23
302,14531,887,7128,275,420,190,278,27
303,14531,441,6952,275,419,190,277,25
304,14531,969,6547,275,421,190,277,26
305,14531,972,6928,275,424,190,278,26
306,14531,821,6718,275,422,190,277,27
307,14531,545,6346,275,426,190,281,26
308,14531,961,7415,275,419,190,281,26
309,14531,709,7077,275,420,190,280,25
310,14531,822,7236,275,420,190,282,27
311,14531,1033,7117,275,420,190,281,26
312,14531,1007,7335,275,426,190,281,28
313,14531,854,7600,275,415,190,281,24
314,14531,939,6801,275,418,190,287,26
315,14531,975,7451,275,426,190,286,24
316,14531,907,7076,275,418,190,287,27
317,14531,1031,6938,275,417,190,286,27
318,14531,973,7323,275,419,190,286,24
319,14531,1031,7282,275,414,190,287,28
320,14531,1031,7681,275,420,190,286,26
321,14531,855,7402,275,425,190,286,27
322,14531,973,7251,275,420,190,286,28
323,14531,87,6737,275,420,190,286,27
324,14531,85,6829,275,426,190,287,27
325,14531,889,6820,275,420,190,286,26
326,14531,730,7748,275,418,190,287,27
327,14531,871,6852,275,420,190,286,28
328,14531,734,7842,275,416,190,286,27
329,14531,363,7083,275,424,190,286,25
330,14531,1012,7547,275,421,190,286,29
331,14531,534,6539,275,421,190,286,25
332,14531,693,7215,275,418,190,286,29
333,14531,191,7262,275,423,201,292,26
334,14531,1031,7477,275,421,201,291,27
335,14531,960,7287,275,426,201,291,27
336,14531,995,7153,275,416,201,291,26
337,14531,997,7025,275,420,201,291,28
338,14531,1031,7377,275,418,201,291,28
339,14531,213,7158,275,430,201,290,25
340,14531,1031,7623,275,424,201,291,26
341,14531,47,7882,275,418,201,291,26
342,14531,705,7201,275,421,201,295,27
343,14531,711,7339,275,415,201,295,27
344,14531,972,6895,275,421,201,296,24
345,14531,881,7762,275,422,201,296,25
346,14531,971,7060,275,419,201,296,26
347,14531,640,7151,275,415,201,296,29
348,14531,326,7329,275,425,201,296,26
349,14531,984,7277,275,421,201,296,25
350,14531,984,7772,275,418,201,296,25
351,14531,722,7490,275,424,201,295,25
352,14531,534,7023,275,419,201,296,26
353,14531,45,7268,275,415,201,295,24
354,14531,985,7466,275,416,201,296,26
355,14531,931,7031,275,421,201,295,26
356,14531,760,7488,275,424,201,296,24
357,14531,534,7047,275,421,201,296,24
358,14531,1033,7585,275,428,201,297,26
359,14531,777,7086,275,418,201,296,23
360,14531,550,7563,275,421,201,297,25
361,14531,1031,7092,275,413,201,296,26
362,14531,917,7303,275,427,201,296,24
363,14531,949,7320,275,420,201,296,24
364,14531,742,7592,275,429,201,297,25
365,14531,949,7306,275,423,201,296,26
366,14531,972,7359,275,422,201,297,28
367,14531,550,7199,275,431,201,296,24
368,14531,1031,7342,275,425,201,296,27
369,14531,76,7449,275,419,201,296,25
370,14531,1031,6573,275,418,201,296,24
371,14531,1031,6757,275,423,201,296,26
372,14531,1031,7339,275,419,201,296,26
373,14531,1031,7480,275,423,201,296,24
374,14531,1031,7346,275,428,201,297,26
375,14531,764,7007,275,419,201,297,25
376,14531,534,7108,275,424,201,296,30
377,14531,922,6706,275,420,201,297,25
378,14531,218,7524,275,423,201,296,26
379,14531,1033,7081,275,419,201,296,26
380,14531,524,7212,275,425,201,297,24
381,14531,861,7020,275,425,201,297,25
382,14531,957,7232,275,421,201,296,27
383,14531,984,7776,275,419,201,296,26
384,14531,1035,7008,275,423,201,296,26
385,14531,56,6699,275,428,201,297,26
386,14531,984,6827,275,419,201,296,26
387,14531,997,8227,275,418,201,296,26
388,14531,800,7510,275,418,201,296,26
389,14531,973,6836,275,424,201,296,27
390,14531,802,6908,275,418,201,297,27
391,14531,936,7262,275,419,201,297,25
392,14531,984,6852,275,422,201,297,26
393,14531,893,6897,275,427,201,297,28
394,14531,901,7163,275,419,201,297,26
395,14531,1031,7655,275,420,201,297,26
396,14531,734,7631,275,421,201,297,29
397,14531,667,7210,275,419,201,297,27
398,14531,967,7201,275,427,201,297,26
399,14531,852,7136,275,422,201,297,28
400,14531,1031,7757,275,421,201,296,25
401,14531,984,7862,275,424,201,297,24
402,14531,844,6833,275,418,201,297,25
403,14531,1031,7222,275,425,201,297,26
404,14531,984,7235,275,418,201,297,26
405,14531,288,6855,275,420,201,297,28
406,14531,853,6951,275,420,201,297,27
407,14531,912,7097,275,417,201,297,27
408,14531,524,7301,275,418,201,297,29
409,14531,625,7200,275,417,201,296,28
410,14531,833,7571,275,419,201,299,26
411,14531,937,7267,275,418,201,298,26
412,14531,949,7030,275,420,201,299,31
413,14531,942,6900,275,422,201,299,27
414,14531,492,6800,275,417,201,299,29
415,14531,764,7498,275,421,201,299,29
416,14531,995,7280,275,423,201,299,28
417,14531,927,7388,275,423,201,298,30
418,14531,734,7373,275,416,201,298,27
419,14531,972,6831,275,419,201,299,30
420,14531,866,7350,275,423,201,299,26
421,14531,822,6583,275,423,201,300,27
422,14531,951,7519,275,424,201,299,26
423,14531,743,7148,275,420,201,299,26
424,14531,856,7424,275,419,201,299,27
425,14531,1031,6930,275,426,201,299,28
426,14531,279,7141,275,421,201,297,26
427,14531,790,7147,275,417,201,297,26
428,14531,987,6197,275,424,201,298,27
429,14531,1031,7286,275,422,201,298,27
430,14531,918,7292,275,419,201,297,28
431,14531,718,7244,275,417,201,297,28
432,14531,917,6618,275,420,201,297,27
433,14531,550,7068,275,421,201,298,26
434,14531,973,7219,275,420,201,298,27
435,14531,1008,7528,275,419,201,297,28
436,14531,662,7193,275,425,201,297,26
437,14531,93,7188,275,420,201,297,28
438,14531,668,7083,275,417,201,297,27
439,14531,696,6791,275,427,201,297,28
440,14531,972,7340,275,416,201,297,29
441,14531,781,7221,275,420,201,298,27
442,14531,17,6999,275,419,201,298,27
443,14531,1031,7022,275,427,201,297,28
444,14531,690,7555,275,414,201,298,28
445,14531,984,6859,275,426,201,298,28
446,14531,19,7192,275,424,201,298,28
447,14531,961,6889,275,423,201,298,30
448,14531,1031,6824,275,420,201,298,28
449,14531,995,7500,275,423,201,298,28
450,14531,866,6602,275,420,201,297,28
451,14531,961,7036,275,418,201,297,28
452,14531,458,6436,275,420,201,297,29
453,14531,877,6931,275,423,201,297,26
454,14531,995,7001,275,417,201,296,32
455,14531,550,6974,275,420,201,297,29
456,14531,53,6562,275,420,201,296,29
457,14531,914,6509,275,425,201,297,29
458,14531,444,7207,275,420,201,296,27
459,14531,680,7331,275,419,201,296,29
460,14531,655,6739,275,416,201,295,27
461,14531,578,7531,275,422,201,295,29
462,14531,445,6863,275,416,201,294,26
463,14531,56,7159,275,417,201,295,27
464,14531,585,7434,275,418,201,295,27
465,14531,995,7480,275,420,201,295,28
466,14531,692,7455,275,420,201,295,27
467,14531,1031,7453,275,415,201,294,28
468,14531,972,7240,275,421,201,295,27
469,14531,1008,6919,275,417,201,295,26
470,14531,933,7123,275,418,201,295,26
471,14531,995,7395,275,418,201,294,26
472,14531,524,7001,275,418,201,295,26
473,14531,958,7344,275,429,201,295,27
474,14531,949,6796,275,425,201,295,27
475,14531,972,6431,275,423,201,295,28
476,14531,914,7275,275,419,201,294,27
477,14531,442,7180,275,420,201,295,27
478,14531,972,6788,275,423,201,295,26
479,14531,866,6814,275,424,201,295,27
480,14531,944,6952,275,423,201,295,27
481,14531,714,6540,275,428,201,295,28
482,14531,878,7394,275,418,201,295,28
483,14531,655,7211,275,419,201,295,28
484,14531,901,6707,275,417,201,295,26
485,14531,984,6690,275,421,201,295,27
486,14531,949,6902,275,421,201,295,28
487,14531,534,6940,275,419,201,295,27
488,14531,626,6948,275,417,201,295,26
489,14531,52,6910,275,421,201,297,27
490,14531,760,7362,275,422,201,297,29
491,14531,692,6982,275,422,201,298,29
492,14531,961,7025,275,423,201,298,30
493,14531,984,7097,275,423,201,298,28
494,14531,652,7489,275,417,201,298,28
495,14531,899,6614,275,416,201,298,29
496,14531,883,6528,275,417,201,298,29
497,14531,984,7092,275,424,201,298,28
498,14531,845,7479,275,420,201,298,32
499,14531,693,7502,275,418,201,298,29
500,14531,1031,7952,275,420,201,298,28
501,14531,868,7199,275,422,201,300,31
502,14531,675,7095,275,423,201,298,30
503,14531,972,6458,275,422,201,298,29
504,14531,995,7038,275,420,201,299,29
505,14531,540,7065,275,421,201,299,29
506,14531,35,6845,275,420,201,299,29
507,14531,737,7153,275,421,201,299,28
508,14531,795,7088,275,422,201,299,28
509,14531,972,6954,275,414,201,298,29
510,14531,538,7054,275,425,201,304,29
511,14531,1031,7776,275,418,201,304,28
512,14531,750,7688,275,418,201,302,27
513,14531,1031,7240,275,425,201,302,29
514,14531,845,7712,275,421,201,303,27
515,14531,345,7919,275,425,201,302,27
516,14531,693,7401,275,431,201,302,29
517,14531,547,6548,275,420,201,303,28
518,14531,899,7262,275,426,201,303,28
519,14531,1031,6969,275,419,201,302,29
520,14531,924,6834,275,420,201,302,27
521,14531,961,7309,275,420,201,303,28
522,14531,853,7435,275,421,201,302,28
523,14531,625,7120,275,416,201,302,31
524,14531,922,6526,275,422,201,303,30
525,14531,546,6982,275,421,201,302,30
526,14531,764,6969,275,426,201,297,30
527,14531,647,7579,275,415,201,297,27
528,14531,916,7174,275,421,201,297,28
529,14531,550,6537,275,418,201,297,28
530,14531,855,6893,275,419,201,298,29
531,14531,436,7276,275,417,201,298,28
532,14531,1031,6446,275,419,201,298,30
533,14531,984,7236,275,417,201,298,29
534,14531,470,7065,275,415,201,298,28
535,14531,961,6941,275,422,201,299,32
536,14531,995,7013,275,423,201,298,29
537,14531,546,7123,275,424,241,305,28
538,14531,867,6714,275,423,241,305,26
539,14531,315,7108,275,426,241,305,26
540,14531,845,7160,275,431,241,305,28
541,14531,984,6555,275,416,241,306,26
542,14531,1007,6467,275,426,241,305,26
543,14531,985,6948,275,422,241,305,26
544,14531,408,6313,275,429,241,306,28
545,14531,1031,6717,275,418,241,306,29
546,14531,628,7076,275,417,241,305,26
547,14531,972,6618,275,419,241,305,25
548,14531,836,6593,275,416,241,305,27
549,14531,241,7048,275,416,241,305,27
550,14531,1031,7060,275,422,241,305,26
551,14531,5,6976,275,419,241,305,27
552,14531,972,7153,275,425,241,306,28
553,14531,972,6921,275,424,241,305,26
554,14531,19,7441,275,422,241,306,25
555,14531,43,7040,275,418,241,305,26
556,14531,305,7187,275,418,241,305,26
557,14531,530,6942,275,424,241,306,28
558,14531,995,7143,275,418,241,305,27
559,14531,900,7080,275,415,241,305,26
560,14531,984,7097,275,420,241,306,27
561,14531,617,7271,275,417,241,305,27
562,14531,912,7292,275,423,241,306,29
563,14531,1031,7029,275,421,241,305,26
564,14531,928,6833,275,423,241,306,28
565,14531,558,7285,275,420,241,305,30
566,14531,1031,7151,275,419,241,305,27
567,14531,1031,6673,275,421,241,306,29
568,14531,569,7583,275,420,241,305,26
569,14531,1031,6900,275,421,241,306,26
570,14531,312,6878,275,417,241,305,27
571,14531,984,6943,275,422,241,305,28
572,14531,1031,7209,275,425,241,305,30
573,14531,653,6815,275,422,241,305,27
574,14531,846,6895,275,418,241,305,27
575,14531,963,7162,275,417,241,305,26
576,14531,79,6825,275,423,241,305,26
577,14531,546,6501,275,421,241,306,28
578,14531,1001,6587,275,418,241,305,28
579,14531,1164,7133,275,421,241,305,26
580,14531,452,6495,275,423,241,306,28
581,14531,962,7126,275,421,241,306,27
582,14531,985,6550,275,425,241,305,28
583,14531,569,6405,275,422,241,305,28
584,14531,1008,6885,275,420,241,306,27
585,14531,1031,6884,275,421,241,306,26
586,14531,691,7275,275,428,241,305,26
587,14531,917,6530,275,419,241,306,27
588,14531,972,7910,275,423,241,305,29
589,14531,972,7434,275,420,241,305,29
590,14531,774,7333,275,428,241,305,27
591,14531,569,7274,275,413,241,305,27
592,14531,5,7456,275,422,241,305,27
593,14531,627,7044,275,428,241,305,26
594,14531,1031,6761,275,417,241,305,26
595,14531,962,7120,275,419,241,305,27
596,14531,557,6542,275,420,241,306,28
597,14531,384,6644,275,420,241,305,27
598,14531,861,7609,275,416,241,305,26
599,14531,437,6589,275,423,241,305,26
600,14531,693,7073,275,423,241,306,29
601,14531,817,6610,275,420,241,305,26
602,14531,701,6819,275,426,241,305,26
603,14531,961,6867,275,419,241,305,28
604,14531,1031,7259,275,422,241,306,27
605,14531,435,6967,275,417,241,305,27
606,14531,675,6522,275,420,241,305,26
607,14531,973,7290,275,430,241,306,29
608,14531,997,6602,275,422,241,306,30
609,14531,691,6455,275,419,241,305,26
610,14531,1031,7033,275,423,241,306,27
611,14531,104,7195,275,418,241,305,27
612,14531,961,7479,275,420,241,305,26
613,14531,972,7202,275,423,241,305,27
614,14531,972,7501,275,421,241,306,26
615,14531,1031,6864,275,425,241,306,26
616,14531,984,7625,275,425,241,305,29
617,14531,948,6922,275,421,241,306,27
618,14531,151,7233,275,420,241,306,27
619,14531,972,6692,275,440,241,307,27
620,14531,984,7101,275,359,241,298,25
621,14531,407,6419,275,354,241,300,26
622,14531,29,6706,275,356,241,300,25
623,14531,972,6674,275,357,241,300,25
624,14531,972,7134,275,353,241,300,26
625,14531,693,6653,275,354,241,300,26
626,14531,635,6998,275,352,241,300,24
627,14531,1031,6981,275,355,241,300,25
628,14531,1031,7287,275,354,241,300,27
629,14531,675,7360,275,357,241,300,28
630,14531,1031,6641,275,356,241,300,26
631,14531,850,6815,275,355,241,300,27
632,14531,853,7120,275,359,241,300,26
633,14531,1007,7297,275,353,241,300,24
634,14531,914,6851,275,351,241,300,26
635,14531,596,7679,275,359,241,301,25
636,14531,926,7142,275,360,241,300,25
637,14531,995,7247,275,358,241,300,25
638,14531,221,6347,275,355,241,301,26
