Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity
127,4834,1031,2540,1498,3923,1146,2300
128,4834,1031,2529,1498,3923,1146,2325
129,4834,997,2674,1498,3894,1146,2306
130,4834,1031,2600,1498,3966,1146,2310
131,4834,918,2630,1498,3904,1146,2325
132,4834,635,2603,1498,3908,1146,2368
133,4834,1027,2700,1498,3908,1146,2305
134,4834,964,2670,1498,3920,1146,2314
135,4834,1111,2558,1498,3955,1394,2348
136,4834,1095,2623,1498,3933,1394,2345
137,4834,1031,2631,1498,3927,1394,2361
138,4834,1031,2620,1498,3907,1394,2362
139,4834,617,2635,1498,3917,1394,2360
140,4834,999,2541,1498,3939,1394,2295
141,4834,690,2556,1498,3918,1394,2276
142,4834,1095,2536,1498,3914,1498,2334
143,4834,731,2653,1498,3923,1498,2308
144,4834,710,2604,1498,3925,1498,2310
145,4834,1044,2620,1498,3908,1498,2308
146,4834,1031,2542,1498,3936,1498,2358
147,4933,991,2640,1929,3947,1498,2359
148,4933,931,2628,1929,3919,1498,2382
149,4933,1031,2604,1929,3917,1498,2383
150,4933,858,2574,1929,3915,1498,2383
151,4933,747,2760,1929,3911,1498,2384
152,4933,1018,2630,1929,3929,1498,2381
153,4933,891,2724,1929,3913,1498,2304
154,4933,1253,2756,1929,3915,1498,2328
155,4933,1082,2705,1929,3915,1498,2328
156,4933,1094,2638,1929,3930,1498,2330
157,4933,1162,2733,1929,3900,1498,2328
158,4933,909,2677,1929,3335,1498,2231
159,4933,1031,2607,1929,3316,1498,2230
160,5675,1143,2679,2114,3343,1498,2233
161,5675,949,2722,2114,3349,1498,2240
162,5675,1095,2619,2114,3342,1498,2227
163,5675,805,2657,2114,3341,1498,2209
164,5675,1031,2627,2114,3345,1498,2200
165,5675,818,2623,2114,3349,1498,2202
166,5675,926,2708,2114,3347,1498,2200
167,5675,904,2653,2114,3337,1498,2207
168,5675,1088,2647,2114,3327,1498,2223
169,5675,1031,2644,2114,3323,1498,2266
170,5675,351,2741,2114,3342,1498,2280
171,5675,797,2635,2114,3340,1498,2262
172,5675,1031,2815,2114,3324,1498,2261
173,5675,1119,2731,2114,3323,1498,2270
174,5675,747,2659,2114,3333,1498,2268
175,5675,947,2779,2114,3325,1498,2260
176,5675,1082,2777,2114,3331,1498,2256
177,5675,747,2766,2114,3325,1498,2257
178,5675,1031,2749,2114,3339,1498,2256
179,5675,1031,2768,2114,3347,1498,2264
180,5675,1031,2717,2114,3326,1498,2256
181,5723,510,2792,2290,3342,1498,2261
182,5723,996,2732,2290,3350,1498,2284
183,5723,449,2853,2290,2972,1498,2233
184,5723,843,2687,2290,2959,1498,2213
185,5723,903,2686,2290,2981,1498,2226
186,5723,777,2824,2290,2986,1498,2207
187,5723,1095,2767,2290,2976,1498,2224
188,5723,750,2784,2290,2961,1498,2215
189,5723,697,2694,2290,2987,1498,2227
190,5723,1031,2850,2290,2968,1498,2242
191,5723,688,2715,2290,2971,1498,2236
192,5723,1242,2760,2290,2987,1498,2235
193,5723,1017,2915,2290,2975,1498,2230
194,6047,592,2744,2115,2988,1498,2236
195,6047,847,2792,2115,2980,1498,2213
196,6047,1031,2792,2115,2984,1498,2212
197,6047,688,2832,2115,3000,1498,2213
198,6047,477,2766,2115,2985,1498,2210
199,6047,332,2902,2115,2976,1498,2216
200,6047,1244,2812,2115,2995,1498,2202
201,6047,987,2864,2115,2978,1498,2210
202,6047,933,2918,2115,2964,1498,2201
203,6047,948,2775,2115,2995,1498,2211
204,6047,870,2950,2115,2990,1498,2211
205,6047,926,2786,2115,2964,1498,2214
206,6047,552,2778,2115,2985,1498,2213
207,6047,533,2801,2115,2964,1498,2226
208,6047,870,2939,2115,2965,1498,2266
209,6047,762,2820,2115,2980,1498,2284
210,6047,871,2960,2115,2985,1498,2285
211,6047,557,2837,2115,2982,1498,2287
212,6047,1041,2872,2115,2994,1498,2289
213,6047,908,2842,2115,2994,1498,2288
214,6047,1006,2868,2115,2983,1498,2314
215,6047,613,3012,2115,3001,1498,2321
216,6350,975,2889,2308,2984,1624,2322
217,6350,836,2828,2308,2989,1624,2330
218,6350,1031,2929,2308,2971,1764,2366
219,6350,729,2839,2308,2985,1764,2358
220,6350,1275,2922,2308,2984,1764,2365
221,6350,1062,2977,2308,2978,1764,2361
222,6350,1031,2904,2308,2974,1764,2360
223,6350,675,2972,2308,2986,1764,2390
224,6350,1271,2941,2308,2986,1764,2375
225,6350,1008,3116,2308,2992,1764,2379
226,6350,1222,3011,2308,2979,1764,2375
227,6353,951,2954,2308,2990,1764,2383
228,6350,1045,2886,2308,2964,1764,2378
229,6350,861,2942,2308,2987,1764,2387
230,6350,1079,2969,2308,2997,1764,2387
231,6350,851,2951,2308,2973,1764,2377
232,6350,981,2896,2308,3046,1764,2403
233,6350,1179,2942,2308,3024,1764,2395
234,6350,1306,3029,2308,3040,1764,2403
235,6350,572,2867,2308,3348,1764,2464
236,6350,1144,2907,2308,3038,1764,2419
237,6350,953,2973,2308,3033,1764,2416
238,6350,1031,2932,2308,3277,1764,2432
239,6350,1031,2991,2308,3276,1764,2434
240,6350,1079,3082,2308,3264,1764,2431
241,6350,1083,2984,2308,3263,1764,2435
242,6350,649,2928,2308,3285,1764,2398
243,6350,781,2971,2308,3253,1764,2395
244,6350,992,2899,2308,3267,1764,2397
245,6350,1031,3050,2308,3275,1764,2397
246,6350,1003,2954,2308,3269,1764,2397
247,6350,1191,2981,2308,3279,1764,2399
248,6350,698,2940,2308,3274,1764,2391
249,6350,945,2968,2308,3294,1764,2427
250,6350,639,2991,2308,3296,1764,2430
251,6735,1061,2873,2308,3275,1764,2430
252,6350,1087,2957,2308,3267,1764,2429
253,6350,983,2923,2308,3274,1764,2430
254,6350,1303,3025,2308,3288,1764,2426
255,6424,903,2928,2262,3273,1764,2430
256,6424,657,2891,2262,3285,1764,2434
257,6424,611,2904,2262,3279,1764,2440
258,6424,985,3001,2262,3288,1929,2478
259,6735,1031,3098,2308,3282,1929,2476
260,6424,403,3039,2262,3285,1929,2481
261,6424,662,3200,2262,3631,2086,2584
262,6424,962,3225,2262,3680,2086,2635
263,6424,471,2990,2262,3671,2086,2635
264,6424,967,3015,2262,3643,2086,2660
265,6767,1003,3144,2476,3665,2086,2658
266,6767,788,3169,2476,3604,2086,2719
267,6767,1175,3351,2476,3640,2086,2706
268,6767,1557,3357,2476,3631,2086,2705
269,6767,852,3252,2476,3637,2086,2709
270,6767,553,3197,2476,3655,2086,2709
271,6767,1159,3362,2476,3621,2086,2709
272,6767,1031,3288,2476,3647,2086,2709
273,6767,1353,3248,2476,3615,2086,2701
274,6767,656,3128,2476,3622,2086,2708
275,6767,1134,3162,2476,3614,2086,2707
276,6767,1023,3366,2476,3617,2086,2707
277,6767,1031,3324,2476,3633,2086,2727
278,6767,895,3389,2476,3626,2086,2740
279,6767,1003,3126,2476,3626,2086,2740
280,6767,625,3285,2476,3624,2086,2741
281,6767,526,3310,2476,3633,2086,2739
282,6767,1095,3255,2476,3634,2086,2751
283,6767,668,3243,2476,3633,2086,2741
284,6767,923,3236,2476,3606,2086,2739
285,6767,837,3131,2476,3618,2086,2739
286,6767,970,3199,2476,3617,2086,2741
287,6767,1298,3262,2476,3642,2086,2739
288,6767,912,3340,2476,3627,2086,2741
289,6767,1335,3312,2476,3634,2086,2756
290,6767,1031,3318,2476,3653,2086,2757
291,6767,1223,3198,2476,3632,2086,2767
292,6767,1332,3279,2476,3626,2086,2805
293,6767,1175,3468,2476,3620,2086,2824
294,6767,609,3155,2476,3673,2086,2851
295,6767,1082,3209,2476,3715,2086,2851
296,6767,1253,3311,2476,3677,2086,2840
297,6767,1031,3231,2476,3658,2086,2842
298,6767,1223,3433,2476,3693,2086,2842
299,6767,1055,3300,2476,3679,2086,2855
300,6767,1079,3394,2476,3693,2086,2852
301,6767,1031,3302,2476,3660,2086,2853
302,6767,1329,3435,2476,4080,2086,2874
303,7540,1031,3459,3004,4055,2086,2874
304,7540,1345,3525,3004,4059,2086,2911
305,7540,1351,3423,3004,4058,2086,2974
306,7540,881,3488,3004,4082,2086,2985
307,7540,1095,3492,3004,4062,2086,2987
308,7540,1463,3398,3004,4090,2086,2978
309,7540,1095,3231,3004,4056,2086,2977
310,7540,971,3452,3004,4068,2086,2990
311,7540,1223,3304,3004,4060,2086,2980
312,7540,1382,3545,3004,4080,2114,3060
313,7540,992,3536,3004,4105,2114,3071
314,7540,1239,3471,3004,4114,2114,3070
315,7540,1296,3383,3004,4144,2114,3068
316,7540,1367,3566,3004,4115,2114,3069
317,7540,1077,3448,3004,4106,2114,3074
318,7540,1107,3505,3004,4107,2114,3066
319,7540,1271,3404,3004,4109,2115,3106
320,7540,1223,3424,3004,4123,2115,3118
321,7540,1351,3588,3004,4124,2115,3115
322,7540,1196,3533,3004,4128,2115,3118
323,7540,1095,3564,3004,4136,2115,3124
324,7540,1319,3484,3004,4124,2115,3114
325,7540,1287,3378,3004,4106,2115,3118
326,7540,1140,3460,3004,4103,2115,3105
327,7540,1462,3480,3004,4118,2115,3154
328,7540,1287,3486,3004,4093,2115,3167
329,7540,1223,3549,3004,4095,2115,3216
330,7540,510,3486,3004,4133,2115,3242
331,7540,1288,3463,3004,4118,2115,3237
332,7540,1463,3497,3004,4118,2115,3244
333,7540,982,3593,3004,4131,2115,3226
334,7540,1335,3439,3004,4087,2115,3178
335,7540,1136,3601,3004,4091,2115,3178
336,7540,1345,3582,3004,4066,2115,3183
337,7540,491,3455,3004,4062,2115,3172
338,7540,1513,3499,3004,4079,2115,3216
339,7540,1105,3590,3004,4074,2115,3219
340,7540,759,3437,3004,4107,2115,3223
341,7540,1392,3634,3004,4083,2115,3228
342,7540,1258,3373,3004,4072,2115,3224
343,7540,1116,3529,3004,4077,2115,3210
344,7540,1303,3492,3004,4092,2115,3211
345,7540,1335,3574,3004,4099,2115,3210
346,7540,909,3489,3004,4489,2115,3239
347,7540,1095,3533,3004,4500,2115,3237
348,7540,932,3515,3004,4537,2115,3262
349,7540,1335,3512,3004,4526,2115,3274
350,7540,1492,3478,3004,4544,2115,3264
351,7540,1175,3426,3004,4552,2115,3263
352,7540,534,3492,3004,4554,2115,3253
353,7540,1287,3461,3004,4572,2115,3312
354,7540,1287,3541,3004,5098,2115,3367
355,7540,727,3489,3004,5082,2115,3363
356,7540,1223,3434,3004,5668,2115,3393
357,7540,1095,3573,3004,5713,2115,3395
358,7540,1233,3541,3004,5661,2115,3416
359,7540,1235,3526,3004,4545,2115,3328
360,7540,1175,3404,3004,4557,2115,3335
361,7540,1031,3587,3004,4535,2115,3332
362,7540,1254,3516,3004,4552,2115,3330
363,7540,1325,3455,3004,4527,2115,3332
364,7540,1399,3636,3004,4539,2115,3352
365,7540,1123,3456,3004,4562,2115,3355
366,7540,1253,3575,3004,4592,2115,3355
367,7540,1345,3533,3004,4565,2115,3360
368,7540,1031,3520,3004,4547,2115,3359
369,7540,1340,3592,3004,4540,2115,3358
370,7540,1287,3492,3004,4527,2115,3360
371,7540,742,3722,3004,4579,2115,3358
372,7540,1367,3530,3004,5031,2262,3480
373,7540,1487,3621,3004,5010,2262,3483
374,7540,1383,3691,3004,5039,2262,3483
375,7540,679,3615,3004,5025,2262,3483
376,7540,1089,3404,3004,5045,2262,3483
377,7540,1190,3607,3004,5012,2262,3482
378,7540,1095,3547,3004,5043,2262,3484
379,7540,1031,3597,3004,5023,2262,3486
380,7540,1212,3519,3004,5000,2262,3481
381,7540,1032,3511,3004,5041,2262,3486
382,7540,1287,3549,3004,5012,2262,3480
383,7540,1211,3661,3004,4994,2262,3482
384,7540,1548,3488,3004,5002,2262,3482
385,7540,1151,3411,3004,5055,2262,3479
386,7540,1175,3437,3004,5039,2262,3484
387,7540,1311,3490,3004,5019,2262,3483
388,7540,1095,3483,3004,4985,2262,3497
389,7540,1287,3599,3004,5030,2262,3497
390,7540,1271,3772,3004,5031,2262,3470
391,7540,1383,3582,3004,5019,2262,3468
392,7540,565,3416,3004,5021,2262,3484
393,7540,1315,3616,3004,5052,2262,3485
394,7540,1192,3476,3004,5031,2262,3517
395,7540,1529,3439,3004,5047,2262,3516
396,7540,1333,3702,3004,5033,2262,3557
397,7540,987,3586,3004,5002,2262,3554
398,7540,1287,3538,3004,5019,2262,3554
399,7540,1421,3592,3004,5070,2262,3593
400,7540,979,3730,3004,5028,2262,3590
401,7540,1159,3671,3004,4550,2262,3539
402,7540,1303,3536,3004,4547,2262,3537
403,7540,1095,3546,3004,4515,2262,3548
404,7540,787,3804,3004,4541,2262,3492
405,7540,1461,3671,3004,4543,2262,3495
406,7540,1287,3675,3004,4993,2262,3614
407,7540,1367,3726,3004,4976,2262,3613
408,7540,1274,3738,3004,4982,2262,3611
409,7973,1175,3762,3319,4986,2262,3611
410,7973,1287,3610,3319,4955,2262,3634
411,7973,1031,3762,3319,4985,2262,3639
412,7973,1440,3643,3319,4957,2262,3627
413,7973,1031,3639,3319,4973,2262,3614
414,7973,1095,3517,3319,4985,2262,3614
415,7973,961,3587,3319,5004,2262,3632
416,7973,1271,3722,3319,4996,2262,3605
417,7973,1358,3581,3319,5015,2262,3586
418,7973,1031,3723,3319,4985,2262,3593
419,7973,1095,3697,3319,4985,2262,3604
420,7973,1031,3648,3319,4992,2262,3612
421,7973,1351,3867,3319,4997,2262,3587
422,7973,612,3639,3319,4991,2262,3608
423,7973,1207,3895,3319,5003,2262,3650
424,7973,1287,3894,3319,4990,2262,3600
425,7973,1169,3874,3319,4965,2262,3600
426,7973,1107,3704,3319,5009,2262,3621
427,7973,1095,3775,3319,4981,2476,3664
428,7973,1299,3720,3319,5002,2476,3715
429,7973,1089,3831,3319,5027,2476,3716
430,7973,1344,3980,3319,4977,2476,3731
431,7973,1351,3760,3319,5100,2476,3831
432,7973,1095,3824,3319,5137,2476,3831
433,7973,1031,3890,3319,5137,2476,3829
434,8868,1560,3999,4532,5111,2476,3829
435,8868,803,3890,4532,5118,2476,3842
436,8868,1271,3735,4532,5111,2476,3871
437,8868,1287,3879,4532,5107,2476,3867
438,8868,1550,4056,4532,5143,2476,3871
439,8868,1095,3829,4532,5126,2476,3858
440,8868,1095,3960,4532,5122,2476,3865
441,8868,1095,3726,4532,5102,2476,3874
442,8868,1031,3847,4532,5121,2476,3869
