Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
1,6072,1,1374,370,370,370,370,1
2,7880,1,2664,382,382,370,372,1
3,11010,1,4695,378,393,370,376,1
4,11010,166,5925,378,401,372,380,1
5,11074,922,6277,378,413,372,384,2
6,13687,342,6603,383,431,372,395,3
7,13687,40,6530,383,448,378,412,3
8,13687,992,7814,383,461,378,416,4
9,18116,633,8120,390,483,378,425,7
10,18116,76,7879,390,505,380,443,14
11,20968,684,8316,397,536,390,457,17
12,20968,684,8490,397,562,390,469,21
13,20456,2311,9056,397,585,397,475,23
14,20968,3698,9762,397,591,397,486,27
15,25618,2241,10525,404,634,397,494,27
16,26829,2947,11385,409,646,397,494,25
17,30318,2975,12171,417,688,397,497,24
18,33083,5177,12311,502,626,397,500,28
19,33123,4786,12759,502,632,397,499,26
20,34503,3906,12962,429,634,397,501,27
21,34503,1984,13929,429,629,397,505,26
22,34303,7044,14072,429,624,397,504,29
23,34503,5769,15329,429,621,397,510,27
24,34503,2647,15652,429,634,397,516,29
25,38031,2704,16220,567,622,397,521,28
26,38254,6450,16759,588,648,397,526,28
27,38254,1638,18268,588,656,397,540,30
28,52107,3326,20151,643,683,417,563,31
29,52107,5274,19979,643,713,417,590,31
30,52107,6094,20971,643,746,417,608,33
31,61115,5846,24934,688,794,417,617,29
32,61115,5748,22539,688,795,417,637,35
33,61115,7104,24736,688,811,417,652,32
34,69882,7763,28449,733,852,417,684,26
35,69882,7891,28548,733,918,417,716,31
36,69882,3576,32185,733,907,433,739,27
37,69882,9474,29916,733,926,625,779,33
38,69882,7077,29735,733,972,625,801,39
39,69882,6744,29954,733,957,625,811,35
40,69882,6131,33202,733,974,643,818,40
41,69882,10539,33700,733,1037,643,831,31
42,70578,7019,35321,897,1109,643,840,42
43,70578,6981,34109,897,1185,643,850,36
44,70578,7014,36091,897,1274,688,919,41
45,73058,7135,36532,1009,1363,688,937,37
46,72452,10116,39073,1009,1376,688,966,48
47,71435,8835,37198,1009,1377,727,1006,40
48,73918,4208,38320,1009,1455,727,1022,36
49,71691,6481,37154,1009,1461,727,1026,34
50,72661,7058,38611,1009,1572,727,1056,48
51,73884,7491,39558,1009,1740,727,1098,41
52,74243,10041,37502,1009,1710,727,1104,47
53,74208,8324,34348,1009,1715,727,1107,45
54,74964,7121,38895,1009,1725,727,1142,49
55,73597,8144,37435,1009,1720,727,1142,47
56,70984,8556,38704,1152,1723,727,1147,49
57,73895,8848,41023,776,1711,727,1180,47
58,75963,7067,38898,1357,1721,727,1184,48
59,76441,8511,41252,1357,1723,727,1211,52
60,75236,8601,43688,1357,1778,733,1341,44
61,77722,9307,41262,1009,1883,733,1358,39
62,74168,8675,43177,1506,1864,733,1394,36
63,75236,8946,44993,1357,1876,733,1398,33
64,76314,7346,43829,1576,1871,733,1399,37
65,76477,7318,45492,1707,1858,733,1414,39
66,76893,6924,44165,1357,1882,733,1414,40
67,83265,8632,47795,1647,1857,733,1418,34
68,83265,10886,47204,1647,1864,733,1435,45
69,83265,8140,46221,1647,1976,733,1496,47
70,83265,8517,46366,1647,1984,733,1500,49
71,83265,8675,47395,1647,1993,733,1500,49
72,83265,9644,46298,1647,1984,776,1580,39
73,83265,10611,46913,1647,2099,776,1594,53
74,83265,10852,46056,1647,2082,776,1555,51
75,83265,8464,46476,1647,2112,776,1556,51
76,83265,9442,50183,1647,2106,776,1587,48
