Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
1,7230,1,1551,146,146,146,146,1
2,7230,1,2230,146,152,146,147,1
3,8251,1,3546,149,154,146,147,1
4,10302,1,4624,149,154,146,148,1
5,14647,11,5750,154,154,146,148,1
6,23945,1,6638,152,159,146,150,2
7,22888,620,7498,152,166,148,154,7
8,49095,7,7350,155,168,148,159,10
9,54909,620,9029,157,173,152,160,13
10,65210,620,12586,157,179,152,161,15
11,63276,620,16035,162,185,155,163,18
12,71824,620,21019,166,187,155,166,21
13,71748,1417,24201,166,195,157,168,23
14,71587,4425,27310,163,200,157,169,21
15,71587,4899,30716,163,210,157,170,23
16,76582,1866,28470,160,207,157,174,22
17,78338,3629,31059,160,215,157,173,23
18,76582,4974,30697,160,217,157,175,23
19,76582,4492,36413,160,211,157,177,21
20,78145,5611,34679,160,213,157,178,23
21,78145,4787,37199,160,212,157,177,27
22,76582,6396,32185,160,213,157,180,22
23,78338,4616,32786,160,215,157,179,21
24,78145,6780,34442,160,221,157,180,23
25,76582,6188,37559,160,221,157,181,25
26,76582,6412,39665,160,225,157,182,26
27,77319,4721,38393,186,231,157,187,24
28,77882,6050,38914,171,242,157,189,25
29,76582,6350,35326,160,240,160,191,27
30,80037,6625,37255,176,250,160,195,24
31,79637,5831,41630,176,259,160,195,26
32,83124,6111,42276,192,259,160,194,25
33,83124,6048,40957,192,254,160,195,26
34,83110,6362,41169,192,252,160,196,25
35,83124,2943,42794,192,272,160,197,25
36,83124,6118,40870,192,265,160,198,26
37,83124,5419,39794,192,275,160,202,28
38,83124,1853,42231,192,282,160,203,26
39,82718,6296,38594,192,287,160,204,26
40,83124,5666,43746,192,266,160,200,24
41,83124,4848,45649,192,264,160,200,25
42,82623,5230,41972,192,263,160,202,25
43,83124,6455,41794,192,265,160,202,26
44,83124,5821,40679,192,263,160,202,28
45,83124,5413,42000,192,283,160,206,25
46,82876,6587,41582,192,279,160,206,26
47,83124,5355,41462,192,274,160,206,27
48,83124,5747,43901,192,289,160,210,26
49,83124,2754,46200,192,295,160,209,29
50,83124,5003,43081,192,289,160,213,24
51,84271,7181,41503,206,290,160,210,29
52,82375,7180,44176,192,294,160,210,24
